candidate_id,rank,score,reasoning
CAND_0080766,22,0.980436,"8.8 yrs in applied ML at product companies; shipped end-to-end retrieval/ranking systems at scale (Swiggy, Aganitha, Salesforce); strong production experience with hybrid search, embeddings, vector in"
CAND_0011162,23,0.978907,"5.8 yrs in applied ML at product companies; shipped embedding-based retrieval & ranking systems at upGrad, Meesho, Google; strong production vector search, hybrid search, and eval experience; in India"
CAND_0006567,24,0.977375,"7.9 yrs in applied AI at product companies; shipped end-to-end ranking/retrieval at Meta, Razorpay, Glance; deep hands-on with embeddings, vector reps, BM25, A/B testing; India-based, willing to reloc"
CAND_0057563,25,0.975208,"6.8 yrs in applied ML at AI/product companies; shipped semantic search, ranking, recommendations at scale; strong in embeddings, FAISS, evaluation; hands-on IC; in India; willing to relocate"
CAND_0068351,26,0.975032,"6.4 yrs in AI/ML at product companies; shipped end-to-end ranking/retrieval at Sarvam, Verloop, Microsoft; strong in embeddings, vector DBs (Qdrant, pgvector), hybrid search, evaluation; hands-on IC;"
CAND_0037980,27,0.974828,"9y in applied AI at product companies; shipped ranking/retrieval systems at scale; strong in embeddings, vector DBs, evaluation; hands-on IC; in India; shipping-focused mindset."
CAND_0042029,28,0.974695,"6.5 yrs in applied ML at product companies (Flipkart, Observe.AI). Shipped semantic search with sentence-transformers, FAISS, Pinecone. Strong in ranking, embeddings, hybrid search, evaluation. In Ind"
CAND_0042100,29,0.974460,"7.3 yrs in applied ML at product companies (Freshworks, Netflix). Shipped learning-to-rank, recommendation systems, RAG. Production Pinecone, Elasticsearch, eval frameworks. Strong relevance fit."
CAND_0044855,30,0.972509,"6.6 yrs in applied AI at product companies; shipped RAG, recommendations, semantic search with embeddings & Pinecone/FAISS; strong IR, LTR, NLP; hands-on production, eval, A/B testing; in India, willi"
CAND_0075574,31,0.972498,"5.7 yrs in applied ML at AI/product companies; shipped ranking/retrieval systems with embeddings, vector DBs (Weaviate/Qdrant/Pinecone), hybrid search, and eval frameworks; hands-on with production RA"
CAND_0018549,32,0.972300,"6.8 yrs at product companies (Uber, Flipkart); shipped embedding-based retrieval, ranking, and recommendation systems at scale; strong in production vector DBs, eval, and NLP; hands-on IC; in India an"
CAND_0010770,33,0.972087,"15.2y exp, 7.2y applied ML; shipped ranking/retrieval at product companies. Production XGBoost/LightGBM ranking, BGE+FAISS semantic search, LTR, NDCG eval. India-based, willing to relocate."
CAND_0030468,34,0.971836,"5.4 yrs in applied AI at product companies; shipped retrieval/ranking systems at Swiggy, CRED, Wysa; strong production focus with OpenSearch, Milvus, A/B testing; India-based, open to relocate."
CAND_0005260,35,0.971428,"5.2 yrs in applied NLP at product companies; shipped RAG, hybrid retrieval, fine-tuned LLMs with LoRA/QLoRA; strong IR, eval, and production focus at scale; in India, willing to relocate."
CAND_0076251,36,0.969018,"7.6 yrs in applied ML at product companies; shipped embedding-based retrieval (BGE/FAISS) at scale; strong in production NLP, semantic search, evaluation; hands-on IC; India-based, open to relocate."
CAND_0047721,37,0.965929,"7 yrs in applied ML at product companies (Microsoft, Observe.AI); shipped retrieval, ranking, recommendations at scale; strong in embeddings, vector DBs (Milvus, FAISS, Qdrant), LTR, IR; hands-on prod"
CAND_0010257,38,0.963550,"6.5 yrs at product companies (Google, PharmEasy); shipped embedding-based retrieval, ranking, recommendations at scale; strong in production vector DBs (Milvus, Qdrant), hybrid search (OpenSearch), an"
CAND_0061257,39,0.957979,"8y in applied ML at product companies; shipped search/ranking at scale at LinkedIn; strong IR, retrieval, and production focus; in India; hands-on with eval and infra"
CAND_0094759,40,0.957472,"8.6 yrs at product companies (Meta, Apple, Locobuzz); shipped embedding-based retrieval, hybrid search, A/B tested rankers at scale; strong NDCG, FAISS, Qdrant, LTR; in India, willing to relocate"
CAND_0096172,41,0.956844,"5+ yrs at AI-native product companies (Krutrim, Dream11); shipped semantic search with sentence-transformers/FAISS and recsys at scale; strong production retrieval, ranking, and evaluation focus; Indi"
CAND_0028793,42,0.956058,"7.2 yrs in applied ML at top product companies; shipped semantic search, RAG, ranking systems; strong in embeddings, FAISS, Pinecone, eval rigor; hands-on IC; in India; willing to relocate"
CAND_0033861,43,0.954545,"8y in AI/ML at product companies; shipped hybrid retrieval, fine-tuned BGE/LLaMA/Mistral with LoRA/QLoRA; production Weaviate/Pinecone/Qdrant; rigorous eval (NDCG, human scores); India-based"
CAND_0006557,44,0.954015,"7.9 yrs in applied ML at product companies; shipped LTR, embeddings, vector search (FAISS/Pinecone/Weaviate), RAG, eval frameworks; strong NLP/retrieval focus; in India; hands-on IC."
CAND_0086151,45,0.952772,"7.7 yrs in applied ML at product companies; shipped retrieval/ranking systems at scale (Wysa, Glance, Meta); strong in embeddings, vector DBs, evaluation; hands-on IC with production NLP/IR work; in I"
CAND_0007411,46,0.952715,"8 yrs in applied ML at product companies; shipped end-to-end retrieval/ranking systems with embeddings, Pinecone, hybrid search, LTR, and rigorous evaluation at scale; hands-on IC; in India; willing t"
CAND_0070485,47,0.951768,"6.4 yrs in applied ML at product companies; shipped semantic search & LTR systems with embeddings, FAISS, rigorous evaluation; strong IR/retrieval focus; in India"
CAND_0012957,48,0.949776,"4.9 yrs in applied AI at product companies; shipped embedding-based retrieval + learning-to-rank in production; strong NLP/relevance focus; uses Qdrant, eval rigor; in India, willing to relocate"
CAND_0094056,49,0.949129,"5.9 yrs in applied NLP/ML at AI-native firms; shipped semantic search with sentence-transformers + FAISS and production recsys; strong in retrieval, ranking, eval; India-based, willing to relocate"
CAND_0092278,50,0.946848,"6.8 yrs in applied AI at product companies; shipped search/ranking systems at scale; strong in embeddings, hybrid retrieval, eval; Pune-based; hands-on with production RAG, LTR, vector DBs"
CAND_0089552,51,0.946070,"6 yrs at product companies (Netflix, Mad Street Den); shipped semantic search, RAG, recommendations with embeddings, FAISS, Pinecone, Weaviate; strong eval focus; hands-on IC; in India; willing to rel"
CAND_0060072,52,0.943704,"5.7 yrs in applied ML at product companies; shipped search/ranking systems at Amazon & Wysa; strong in embeddings, hybrid retrieval (Qdrant/Milvus), LTR, A/B testing; hands-on IC; in India; willing to"
CAND_0064326,53,0.916500,"7.6 yrs in applied ML at AI/product companies; shipped ranking/retrieval systems at Apple, Sarvam, Freshworks; strong production embeddings, vector DB, hybrid search, eval experience; in India; hands-"
CAND_0036184,54,0.914784,"6+ yrs at product companies (CRED, PolicyBazaar); shipped embeddings + FAISS/Pinecone for semantic search at scale; strong retrieval, NLP, and applied ML focus; hands-on, in India, open to work."
CAND_0002025,55,0.912308,"5.9 yrs in applied AI at product companies; shipped hybrid retrieval & ranking systems at scale; strong in embeddings, vector DBs, eval; India-based; hands-on production focus."
CAND_0011687,56,0.911525,"7.8 yrs in applied AI at product companies; shipped end-to-end retrieval/ranking system with BGE, Pinecone, XGBoost, A/B testing at scale; strong eval rigor; hands-on IC; in India; production MLOps"
CAND_0010685,57,0.910416,"6.7 yrs in applied ML at AI/product companies. Shipped semantic search & ranking systems using sentence-transformers, FAISS, LTR. Strong IR, eval, and production deployment focus. Based in India, open"
CAND_0030031,58,0.909211,"5.7 yrs at top tech companies; shipped retrieval/ranking systems at scale (Google, Amazon, Microsoft); strong production NLP, embeddings, vector search (Milvus), and eval experience; India-based; hand"
CAND_0079387,59,0.908944,"6.9 yrs in applied ML at product companies; shipped retrieval, ranking, recsys at scale; strong in embeddings, vector DBs, evaluation; hands-on IC with production NLP/IR systems; in India"
CAND_0045250,60,0.906698,"6.6 yrs in applied ML at AI/product companies; shipped embedding-based retrieval & ranking models at Rephrase.ai; strong in production NLP, vector search (Milvus), A/B testing; India-based"
CAND_0041669,61,0.906513,"8y in applied ML at AI/product companies; shipped retrieval/ranking systems at scale with embeddings, vector DBs, eval frameworks; hands-on IC; in India; strong production focus."
CAND_0083879,62,0.906243,7+ yrs at product companies; shipped semantic search with sentence-transformers/FAISS; production ranking at PhonePe/Swiggy; strong MLOps; in India; hands-on IC.
CAND_0049538,63,0.905425,"5.8 yrs applied ML at product companies; shipped embedding-based retrieval & ranking systems at scale; strong production focus with vector DBs, LTR, eval; in India"
CAND_0046064,64,0.905329,"8.9 yrs in applied AI at product companies; shipped end-to-end retrieval/ranking systems at Amazon, Verloop, Salesforce; deep hands-on with embeddings, hybrid search, LTR, LoRA/QLoRA; strong eval rigo"
CAND_0040117,65,0.903734,6.5 yrs in applied ML at product companies; shipped embeddings-based retrieval + vector DB (Pinecone/FAISS) in recsys at PhonePe; rigorous A/B testing; hands-on IC; India-based
CAND_0093912,66,0.903177,"5.3 yrs in applied ML at product companies (Razorpay, Flipkart, Apple). Shipped LTR & semantic search with embeddings, FAISS, Elasticsearch. Strong eval focus. Based in India."
CAND_0079284,67,0.902165,"5 yrs at product companies (Google, Swiggy); shipped embedding-based retrieval + ranking systems at scale; strong NLP/recommendations background; uses Qdrant/Elasticsearch; hands-on with eval and prod"
CAND_0069905,68,0.901091,"6.6 yrs in applied ML at AI/product companies; shipped embedding-based retrieval (BGE/FAISS/Pinecone); strong NLP/ranking focus; hands-on production code and A/B testing; India-based, open to relocate"
CAND_0005538,69,0.900387,"5.9 yrs in AI at product companies (Google, Adobe, Locobuzz); shipped retrieval/ranking systems at scale; strong in embeddings, vector DBs, hybrid search; hands-on IC with production focus; India-base"
CAND_0071974,70,0.899782,"7.8 yrs at top product companies (Netflix, Meta); shipped end-to-end ranking/retrieval systems at scale with embeddings, Pinecone, LoRA, LTR, A/B testing; hands-on IC; in India; strong production focu"
CAND_0029367,71,0.899606,"5.7 yrs in applied ML at AI/product companies; shipped embeddings + FAISS/Pinecone retrieval at scale; hands-on with ranking, RAG, evaluation; India-based; strong production NLP/retrieval focus"
CAND_0043228,72,0.898737,"6.8 yrs applied ML at product companies; shipped semantic search with sentence-transformers, FAISS, LTR; strong NLP/retrieval/evaluation focus; hands-on IC at Zoho/Vedantu"
CAND_0078492,73,0.896795,"5.1 yrs in applied ML at product companies; shipped end-to-end ranking/retrieval systems with embeddings, FAISS, LTR; strong NLP/IR focus; hands-on production code; in India; willing to relocate"
CAND_0076163,74,0.896503,"6.9 yrs in applied NLP/AI at product companies; shipped ranking/retrieval systems at Ola/Zoho; strong in embeddings, Weaviate, Elasticsearch, eval; India-based; hands-on IC."
CAND_0008425,75,0.896028,"7.8 yrs in applied AI at product companies; shipped end-to-end retrieval/ranking systems at scale (Ola, Zomato, Amazon); deep hands-on with embeddings, hybrid search, LoRA, eval"
CAND_0099806,76,0.895999,"4.6 yrs at AI/ML product companies; shipped embedding-based retrieval & ranking (XGBoost/LightGBM) with offline-online eval; strong prod exp in NLP, RAG, FAISS, Weaviate, Qdrant; in India, willing to"
CAND_0064904,77,0.895918,"5+ yrs applied ML at product companies; shipped embeddings-based retrieval & recsys at scale; strong production MLOps, Weaviate, Elasticsearch; India-based; hands-on IC."
CAND_0050876,78,0.893585,"6 yrs in applied ML at product companies; shipped retrieval/ranking systems with embeddings (sentence-transformers), vector DBs (Qdrant, FAISS), hybrid search (OpenSearch), and rigorous evaluation. Ha"
CAND_0081852,79,0.892814,"5.9 yrs in applied AI at product companies; shipped embedding-based retrieval + RAG in prod with Pinecone, Weaviate, Milvus; strong eval focus; hands-on MLOps; in India; willing to relocate"
CAND_0036437,80,0.892755,"5 yrs in applied ML at product companies; shipped LTR & retrieval systems at Nykaa and Rephrase.ai; strong production vector search (Milvus, Weaviate, FAISS) and eval experience; willing to relocate;"
CAND_0052335,81,0.891671,"6.4 yrs applied ML at product companies; shipped semantic search & ranking systems with embeddings, FAISS, Pinecone, A/B testing; strong NLP/retrieval focus; hands-on IC; willing to relocate"
CAND_0064270,82,0.891338,"4.2 yrs at product companies building ranking/retrieval systems. Shipped semantic search with sentence-transformers & FAISS. Production LTR at Uber. Strong eval focus. In India, willing to relocate."
CAND_0011432,83,0.890965,"7.6 yrs in applied ML at product companies; shipped ranking/retrieval systems at Amazon/Nykaa, RAG with Pinecone at Krutrim; strong eval focus, prod embeddings, vector DBs, hybrid search; hands-on IC;"
CAND_0020877,84,0.889751,"5+ yrs at product companies (CRED, BYJU'S); shipped semantic search & RAG systems with embeddings, FAISS, Pinecone; strong IR/eval focus; hands-on with vector DBs, PEFT/QLoRA; in India, willing to rel"
CAND_0009024,85,0.889598,"5.2 yrs at product companies (Google, AI startup); shipped embedding-based retrieval & recsys at scale; strong in vector DBs (Qdrant, FAISS), hybrid search (OpenSearch), and evaluation; hands-on IC wi"
CAND_0075249,86,0.889323,"6.2 yrs in applied ML at product companies; shipped embedding-based retrieval & ranking systems at scale (Zomato, upGrad); strong in production NLP, vector DBs, hybrid search; hands-on IC with rigorou"
CAND_0098846,87,0.889176,"7.6 yrs in applied ML at product companies; shipped ranking, retrieval, RAG systems; strong in embeddings, vector DBs, MLOps; India-based, willing to relocate; hands-on IC."
CAND_0018722,88,0.888892,"6.6 yrs in applied ML at product companies; shipped embedding-based retrieval (BGE/FAISS) and learning-to-rank systems at Unacademy, Swiggy, Saarthi; strong NLP/retrieval focus; hands-on with producti"
CAND_0058575,89,0.888876,"5.8 yrs in applied AI at product companies; shipped embeddings-based retrieval (BGE, FAISS, Pinecone) and RAG systems; strong MLOps, eval, and production focus; India-based, open to relocate."
CAND_0030953,90,0.888565,"7.8 yrs in applied ML at product companies; shipped embedding-based retrieval, ranking models, RAG; hands-on with vector DBs, LTR, A/B testing; production focus; India-based."
CAND_0054123,91,0.887797,"4.7 yrs at product cos (Meta, CRED); shipped embeddings-based retrieval & recsys at scale; hands-on w/FAISS, vector search, NLP; production focus; in India"
CAND_0061339,92,0.886709,"4.2 yrs at AI-native product companies; shipped embedding-based retrieval & ranking to 10M+ users; strong IR, vector search (Milvus), evaluation focus; hands-on production code; India-based, open to r"
CAND_0053695,93,0.886387,"5.8 yrs in applied ML at product companies; shipped semantic search & ranking systems using sentence-transformers, FAISS; strong eval focus; hands-on IC; India-based; relevant stack."
CAND_0088025,94,0.886360,"8.6 yrs in applied ML at product companies; shipped hybrid retrieval & ranking at scale; deep hands-on with embeddings, Pinecone, eval, A/B testing; India-based; strong production focus"
CAND_0079064,95,0.885491,"5.2 yrs in applied AI at product companies; shipped embeddings-based retrieval (BGE, FAISS, Pinecone) and RAG systems to production; strong NLP/retrieval focus; owns eval framework; in India; hands-on"
CAND_0022812,96,0.885116,"4.5 yrs at product companies; shipped semantic search (sentence-transformers + FAISS), LTR at Razorpay, strong retrieval/evaluation focus. Skills and depth align perfectly."
CAND_0095528,97,0.884961,"5.3 yrs at product companies (Netflix, Adobe); shipped end-to-end recsys with embeddings, vector search (Qdrant, pgvector), hybrid search (Elasticsearch, OpenSearch); rigorous evaluation; hands-on IC;"
CAND_0078002,98,0.884606,"6.3 yrs in applied ML at product companies (Meta, CRED); shipped ranking/recommendation systems with embeddings, vector DBs (Weaviate), A/B testing; hands-on IC; India-based; production RAG & eval fra"
CAND_0026532,99,0.884163,"4.8 yrs at product companies (Zomato, Mad Street Den); shipped semantic search & recsys at scale; strong in embeddings, FAISS, Milvus, eval; India-based, open to relocate."
CAND_0003977,100,0.883212,"4.6 yrs at product companies (Google, Rephrase.ai); shipped embedding-based retrieval with BGE/FAISS at scale; strong NLP/retrieval focus; rigorous evaluation mindset; in India; hands-on IC work."
